topic,sentiment,count
-1,NEGATIVE,8190
-1,POSITIVE,2749
0,NEGATIVE,1298
1,NEGATIVE,875
2,NEGATIVE,630
3,NEGATIVE,514
4,NEGATIVE,360
6,NEGATIVE,317
7,NEGATIVE,271
8,NEGATIVE,202
5,NEGATIVE,178
9,POSITIVE,174
11,NEGATIVE,163
10,POSITIVE,158
13,NEGATIVE,154
5,POSITIVE,153
12,POSITIVE,124
14,NEGATIVE,122
15,NEGATIVE,117
16,NEGATIVE,104
17,NEGATIVE,97
18,NEGATIVE,97
22,NEGATIVE,88
23,NEGATIVE,87
19,POSITIVE,86
24,NEGATIVE,84
25,NEGATIVE,82
20,POSITIVE,81
21,POSITIVE,79
26,POSITIVE,75
3,POSITIVE,67
28,NEGATIVE,67
27,NEGATIVE,67
31,NEGATIVE,64
0,POSITIVE,62
29,NEGATIVE,58
30,NEGATIVE,56
32,POSITIVE,53
33,NEGATIVE,53
34,NEGATIVE,52
35,NEGATIVE,52
37,NEGATIVE,49
36,NEGATIVE,48
38,NEGATIVE,46
47,POSITIVE,44
43,NEGATIVE,42
45,POSITIVE,42
41,NEGATIVE,38
12,NEGATIVE,38
39,NEGATIVE,37
49,NEGATIVE,36
52,NEGATIVE,36
48,NEGATIVE,35
51,NEGATIVE,35
53,NEGATIVE,35
40,NEGATIVE,34
46,POSITIVE,34
42,NEGATIVE,32
56,NEGATIVE,32
54,NEGATIVE,31
55,POSITIVE,29
62,NEGATIVE,28
10,NEGATIVE,27
59,NEGATIVE,27
57,POSITIVE,27
44,POSITIVE,27
58,NEGATIVE,27
8,POSITIVE,26
61,NEGATIVE,25
60,POSITIVE,25
69,NEGATIVE,25
64,NEGATIVE,25
63,POSITIVE,25
65,POSITIVE,24
72,NEGATIVE,24
71,NEGATIVE,24
68,NEGATIVE,24
70,NEGATIVE,23
76,NEGATIVE,23
79,NEGATIVE,22
75,NEGATIVE,22
80,NEGATIVE,22
83,NEGATIVE,21
66,NEGATIVE,21
77,NEGATIVE,21
1,POSITIVE,21
50,NEGATIVE,21
73,NEGATIVE,20
81,NEGATIVE,20
74,NEGATIVE,20
67,NEGATIVE,19
78,POSITIVE,19
84,NEGATIVE,19
90,NEGATIVE,19
44,NEGATIVE,19
50,POSITIVE,18
85,POSITIVE,18
88,NEGATIVE,18
89,NEGATIVE,18
97,NEGATIVE,18
82,NEGATIVE,18
94,NEGATIVE,17
102,NEGATIVE,17
96,NEGATIVE,17
95,NEGATIVE,17
4,POSITIVE,17
98,NEGATIVE,16
7,POSITIVE,16
16,POSITIVE,16
86,POSITIVE,16
100,NEGATIVE,16
103,NEGATIVE,16
92,NEGATIVE,16
107,NEGATIVE,15
105,POSITIVE,15
91,NEGATIVE,15
101,POSITIVE,15
9,NEGATIVE,15
110,NEGATIVE,15
112,NEGATIVE,15
42,POSITIVE,14
106,NEGATIVE,14
108,NEGATIVE,14
117,NEGATIVE,13
99,POSITIVE,13
93,NEGATIVE,13
109,POSITIVE,12
115,NEGATIVE,12
17,POSITIVE,12
40,POSITIVE,12
20,NEGATIVE,12
104,POSITIVE,12
124,NEGATIVE,12
121,NEGATIVE,12
120,NEGATIVE,12
126,NEGATIVE,12
111,POSITIVE,12
119,POSITIVE,11
125,NEGATIVE,11
122,NEGATIVE,11
129,NEGATIVE,11
131,NEGATIVE,11
30,POSITIVE,11
39,POSITIVE,11
87,NEGATIVE,11
136,NEGATIVE,10
135,NEGATIVE,10
134,NEGATIVE,10
138,POSITIVE,10
29,POSITIVE,10
114,POSITIVE,10
113,POSITIVE,10
123,NEGATIVE,10
46,NEGATIVE,10
21,NEGATIVE,10
6,POSITIVE,10
15,POSITIVE,9
132,NEGATIVE,9
118,POSITIVE,9
127,NEGATIVE,9
87,POSITIVE,9
133,NEGATIVE,8
116,POSITIVE,8
137,NEGATIVE,8
19,NEGATIVE,8
26,NEGATIVE,8
41,POSITIVE,8
27,POSITIVE,8
67,POSITIVE,7
130,POSITIVE,7
18,POSITIVE,7
28,POSITIVE,7
48,POSITIVE,7
11,POSITIVE,6
128,POSITIVE,6
116,NEGATIVE,6
14,POSITIVE,5
66,POSITIVE,5
93,POSITIVE,5
113,NEGATIVE,5
128,NEGATIVE,5
13,POSITIVE,5
32,NEGATIVE,5
55,NEGATIVE,5
61,POSITIVE,4
36,POSITIVE,4
57,NEGATIVE,4
60,NEGATIVE,4
99,NEGATIVE,4
114,NEGATIVE,4
104,NEGATIVE,4
86,NEGATIVE,4
73,POSITIVE,4
130,NEGATIVE,4
58,POSITIVE,4
43,POSITIVE,4
54,POSITIVE,4
24,POSITIVE,3
59,POSITIVE,3
49,POSITIVE,3
51,POSITIVE,3
118,NEGATIVE,3
91,POSITIVE,3
111,NEGATIVE,3
85,NEGATIVE,3
78,NEGATIVE,3
74,POSITIVE,3
82,POSITIVE,3
109,NEGATIVE,3
34,POSITIVE,2
63,NEGATIVE,2
123,POSITIVE,2
133,POSITIVE,2
106,POSITIVE,2
101,NEGATIVE,2
38,POSITIVE,2
45,NEGATIVE,2
127,POSITIVE,2
70,POSITIVE,2
65,NEGATIVE,2
68,POSITIVE,2
84,POSITIVE,2
81,POSITIVE,2
137,POSITIVE,2
115,POSITIVE,2
92,POSITIVE,2
35,POSITIVE,1
56,POSITIVE,1
33,POSITIVE,1
23,POSITIVE,1
25,POSITIVE,1
31,POSITIVE,1
71,POSITIVE,1
98,POSITIVE,1
96,POSITIVE,1
94,POSITIVE,1
95,POSITIVE,1
88,POSITIVE,1
89,POSITIVE,1
75,POSITIVE,1
77,POSITIVE,1
64,POSITIVE,1
108,POSITIVE,1
100,POSITIVE,1
105,NEGATIVE,1
125,POSITIVE,1
122,POSITIVE,1
119,NEGATIVE,1
132,POSITIVE,1
